country,city,year,avg_temp
Tunisia,Tunis,1920,18.76
Tunisia,Tunis,1921,18.61
Tunisia,Tunis,1922,18.91
Tunisia,Tunis,1923,17.93
Tunisia,Tunis,1924,19.04
Tunisia,Tunis,1925,18.21
Tunisia,Tunis,1926,18.82
Tunisia,Tunis,1927,19.14
Tunisia,Tunis,1928,18.74
Tunisia,Tunis,1929,17.86
Tunisia,Tunis,1930,18.85
Tunisia,Tunis,1931,19.13
Tunisia,Tunis,1932,18.76
Tunisia,Tunis,1933,18.55
Tunisia,Tunis,1934,18.50
Tunisia,Tunis,1935,18.41
Tunisia,Tunis,1936,18.43
Tunisia,Tunis,1937,19.11
Tunisia,Tunis,1938,18.12
Tunisia,Tunis,1939,18.46
Tunisia,Tunis,1940,18.14
Tunisia,Tunis,1941,18.24
Tunisia,Tunis,1942,18.89
Tunisia,Tunis,1943,19.08
Tunisia,Tunis,1944,18.39
Tunisia,Tunis,1945,19.00
Tunisia,Tunis,1946,19.10
Tunisia,Tunis,1947,19.60
Tunisia,Tunis,1948,18.76
Tunisia,Tunis,1949,18.85
Tunisia,Tunis,1950,18.87
Tunisia,Tunis,1951,18.69
Tunisia,Tunis,1952,19.33
Tunisia,Tunis,1953,18.37
Tunisia,Tunis,1954,18.18
Tunisia,Tunis,1955,19.25
Tunisia,Tunis,1956,18.00
Tunisia,Tunis,1957,18.28
Tunisia,Tunis,1958,18.74
Tunisia,Tunis,1959,18.45
Tunisia,Tunis,1960,18.98
Tunisia,Tunis,1961,19.01
Tunisia,Tunis,1962,18.48
Tunisia,Tunis,1963,18.52
Tunisia,Tunis,1964,18.59
Tunisia,Tunis,1965,18.45
Tunisia,Tunis,1966,18.67
Tunisia,Tunis,1967,18.65
Tunisia,Tunis,1968,18.67
Tunisia,Tunis,1969,18.22
Tunisia,Tunis,1970,18.51
Tunisia,Tunis,1971,18.19
Tunisia,Tunis,1972,18.09
Tunisia,Tunis,1973,18.47
Tunisia,Tunis,1974,18.24
Tunisia,Tunis,1975,18.24
Tunisia,Tunis,1976,17.87
Tunisia,Tunis,1977,18.99
Tunisia,Tunis,1978,18.21
Tunisia,Tunis,1979,18.58
Tunisia,Tunis,1980,17.96
Tunisia,Tunis,1981,18.71
Tunisia,Tunis,1982,19.20
Tunisia,Tunis,1983,18.84
Tunisia,Tunis,1984,18.29
Tunisia,Tunis,1985,18.87
Tunisia,Tunis,1986,18.85
Tunisia,Tunis,1987,19.22
Tunisia,Tunis,1988,19.40
Tunisia,Tunis,1989,19.11
Tunisia,Tunis,1990,19.34
Tunisia,Tunis,1991,18.41
Tunisia,Tunis,1992,18.54
Tunisia,Tunis,1993,18.90
Tunisia,Tunis,1994,19.93
Tunisia,Tunis,1995,19.22
Tunisia,Tunis,1996,18.88
Tunisia,Tunis,1997,19.54
Tunisia,Tunis,1998,19.19
Tunisia,Tunis,1999,19.97
Tunisia,Tunis,2000,19.76
Tunisia,Tunis,2001,20.04
Tunisia,Tunis,2002,19.74
Tunisia,Tunis,2003,20.04
Tunisia,Tunis,2004,19.37
Tunisia,Tunis,2005,19.12
Tunisia,Tunis,2006,19.82
Tunisia,Tunis,2007,19.71
Tunisia,Tunis,2008,19.76
Tunisia,Tunis,2009,19.64
Tunisia,Tunis,2010,19.76
Tunisia,Tunis,2011,19.53
Tunisia,Tunis,2012,20.12
Tunisia,Tunis,2013,20.00
